,Date,AQI,Sample_Duration,Pollutant_Type
464,1990-02-04,11,24 HOUR,81102
465,1990-02-10,14,24 HOUR,81102
466,1990-02-16,28,24 HOUR,81102
467,1990-07-22,26,24 HOUR,81102
468,1990-12-25,66,24 HOUR,81102
469,1990-01-05,71,24 HOUR,81102
470,1990-01-24,54,24 HOUR,81102
471,1990-01-29,65,24 HOUR,81102
472,1990-02-10,52,24 HOUR,81102
473,1990-02-16,28,24 HOUR,81102
474,1990-02-22,57,24 HOUR,81102
475,1990-02-28,76,24 HOUR,81102
476,1990-03-06,15,24 HOUR,81102
477,1990-03-12,16,24 HOUR,81102
478,1990-03-18,31,24 HOUR,81102
479,1990-03-24,38,24 HOUR,81102
480,1990-03-30,43,24 HOUR,81102
481,1990-04-05,40,24 HOUR,81102
482,1990-04-11,44,24 HOUR,81102
483,1990-04-17,24,24 HOUR,81102
484,1990-04-23,14,24 HOUR,81102
485,1990-04-29,26,24 HOUR,81102
486,1990-05-05,38,24 HOUR,81102
487,1990-05-11,56,24 HOUR,81102
488,1990-05-17,56,24 HOUR,81102
489,1990-05-23,78,24 HOUR,81102
490,1990-05-29,21,24 HOUR,81102
491,1990-06-04,35,24 HOUR,81102
492,1990-06-10,25,24 HOUR,81102
493,1990-06-16,42,24 HOUR,81102
494,1990-06-22,134,24 HOUR,81102
495,1990-06-28,47,24 HOUR,81102
496,1990-07-04,44,24 HOUR,81102
497,1990-07-22,43,24 HOUR,81102
498,1990-07-28,46,24 HOUR,81102
499,1990-08-03,54,24 HOUR,81102
500,1990-08-09,61,24 HOUR,81102
501,1990-08-15,65,24 HOUR,81102
502,1990-08-21,44,24 HOUR,81102
503,1990-08-27,44,24 HOUR,81102
504,1990-09-02,49,24 HOUR,81102
505,1990-09-08,57,24 HOUR,81102
506,1990-09-14,61,24 HOUR,81102
507,1990-09-20,48,24 HOUR,81102
508,1990-09-26,49,24 HOUR,81102
509,1990-10-02,54,24 HOUR,81102
510,1990-10-14,54,24 HOUR,81102
511,1990-10-20,49,24 HOUR,81102
512,1990-10-26,60,24 HOUR,81102
513,1990-11-01,34,24 HOUR,81102
514,1990-11-25,61,24 HOUR,81102
515,1990-12-01,89,24 HOUR,81102
516,1990-12-07,94,24 HOUR,81102
517,1990-12-13,69,24 HOUR,81102
518,1990-12-19,29,24 HOUR,81102
519,1990-12-25,73,24 HOUR,81102
520,1991-01-06,46,24 HOUR,81102
521,1991-01-06,43,24 HOUR,81102
522,1991-01-12,54,24 HOUR,81102
523,1991-01-12,54,24 HOUR,81102
524,1991-01-18,70,24 HOUR,81102
525,1991-01-18,63,24 HOUR,81102
526,1991-01-24,70,24 HOUR,81102
527,1991-01-24,67,24 HOUR,81102
528,1991-01-30,77,24 HOUR,81102
529,1991-01-30,69,24 HOUR,81102
530,1991-02-05,35,24 HOUR,81102
531,1991-02-05,46,24 HOUR,81102
532,1991-02-11,84,24 HOUR,81102
533,1991-02-11,78,24 HOUR,81102
534,1991-02-17,26,24 HOUR,81102
535,1991-02-17,23,24 HOUR,81102
536,1991-02-23,62,24 HOUR,81102
537,1991-02-23,58,24 HOUR,81102
538,1991-03-01,9,24 HOUR,81102
539,1991-03-01,12,24 HOUR,81102
540,1991-03-21,14,24 HOUR,81102
541,1991-03-25,6,24 HOUR,81102
542,1991-03-25,6,24 HOUR,81102
543,1991-03-31,52,24 HOUR,81102
544,1991-03-31,49,24 HOUR,81102
545,1991-04-06,28,24 HOUR,81102
546,1991-04-06,23,24 HOUR,81102
547,1991-04-12,41,24 HOUR,81102
548,1991-04-12,31,24 HOUR,81102
549,1991-04-18,41,24 HOUR,81102
550,1991-04-18,35,24 HOUR,81102
551,1991-04-24,34,24 HOUR,81102
552,1991-04-24,23,24 HOUR,81102
553,1991-04-30,73,24 HOUR,81102
554,1991-04-30,60,24 HOUR,81102
555,1991-05-06,53,24 HOUR,81102
556,1991-05-06,42,24 HOUR,81102
557,1991-05-12,43,24 HOUR,81102
558,1991-05-18,24,24 HOUR,81102
559,1991-05-18,17,24 HOUR,81102
560,1991-05-24,55,24 HOUR,81102
561,1991-05-24,48,24 HOUR,81102
562,1991-06-05,58,24 HOUR,81102
563,1991-06-05,48,24 HOUR,81102
564,1991-06-23,36,24 HOUR,81102
565,1991-06-23,23,24 HOUR,81102
566,1991-06-25,48,24 HOUR,81102
567,1991-06-29,19,24 HOUR,81102
568,1991-06-29,17,24 HOUR,81102
569,1991-07-05,52,24 HOUR,81102
570,1991-07-05,46,24 HOUR,81102
571,1991-07-11,53,24 HOUR,81102
572,1991-07-11,51,24 HOUR,81102
573,1991-07-17,40,24 HOUR,81102
574,1991-07-17,33,24 HOUR,81102
575,1991-07-23,48,24 HOUR,81102
576,1991-07-23,50,24 HOUR,81102
577,1991-07-29,54,24 HOUR,81102
578,1991-07-29,53,24 HOUR,81102
